EnsemblID	predictedProb	HGNCsymbol	batch
ENSG00000004866	0.867633333333333	ST7	HItraining
ENSG00000005339	0.7934	CREBBP	HItraining
ENSG00000005513	0.7447	SOX8	HItraining
ENSG00000006704	0.685	GTF2IRD1	HItraining
ENSG00000007168	0.848083333333333	PAFAH1B1	HItraining
ENSG00000007372	0.9515	PAX6	HItraining
ENSG00000008196	0.903366666666667	TFAP2B	HItraining
ENSG00000008710	0.661716666666667	PKD1	HItraining
ENSG00000017260	0.902033333333333	ATP2C1	HItraining
ENSG00000017427	0.765166666666667	IGF1	HItraining
ENSG00000018625	0.747183333333333	ATP1A2	HItraining
ENSG00000021574	0.78825	SPAST	HItraining
ENSG00000026103	0.858133333333333	FAS	HItraining
ENSG00000040608	0.6765	RTN4R	HItraining
ENSG00000043355	0.932216666666667	ZIC2	HItraining
ENSG00000049618	0.945433333333333	ARID1B	HItraining
ENSG00000052850	0.916183333333333	ALX4	HItraining
ENSG00000054598	0.922533333333333	FOXC1	HItraining
ENSG00000055118	0.813083333333333	KCNH2	HItraining
ENSG00000056661	0.8749	PCGF2	HItraining
ENSG00000066926	0.709133333333333	FECH	HItraining
ENSG00000067082	0.8847	KLF6	HItraining
ENSG00000067955	0.770516666666667	CBFB	HItraining
ENSG00000069011	0.910716666666667	PITX1	HItraining
ENSG00000069424	0.71945	KCNAB2	HItraining
ENSG00000070193	0.884666666666667	FGF10	HItraining
ENSG00000070814	0.692866666666667	TCOF1	HItraining
ENSG00000072274	0.748583333333333	TFRC	HItraining
ENSG00000074047	0.691933333333333	GLI2	HItraining
ENSG00000075043	0.796216666666667	KCNQ2	HItraining
ENSG00000075891	0.8644	PAX2	HItraining
ENSG00000076242	0.9263	MLH1	HItraining
ENSG00000077782	0.86925	FGFR1	HItraining
ENSG00000077800	0.681766666666667	FKBP6	HItraining
ENSG00000077809	0.889283333333333	GTF2I	HItraining
ENSG00000077942	0.825066666666667	FBLN1	HItraining
ENSG00000078900	0.8119	TP73	HItraining
ENSG00000079246	0.817516666666667	XRCC5	HItraining
ENSG00000087460	0.9587	GNAS	HItraining
ENSG00000089225	0.891483333333333	TBX5	HItraining
ENSG00000093010	0.701966666666667	COMT	HItraining
ENSG00000095002	0.759566666666667	MSH2	HItraining
ENSG00000096696	0.928533333333333	DSP	HItraining
ENSG00000099917	0.755083333333333	MED15	HItraining
ENSG00000099956	0.700533333333333	SMARCB1	HItraining
ENSG00000100084	0.7984	HIRA	HItraining
ENSG00000100146	0.706083333333333	SOX10	HItraining
ENSG00000100345	0.82025	MYH9	HItraining
ENSG00000100393	0.942283333333333	EP300	HItraining
ENSG00000101076	0.76665	HNF4A	HItraining
ENSG00000101115	0.860533333333333	SALL4	HItraining
ENSG00000101146	0.766766666666667	RAE1	HItraining
ENSG00000101384	0.899283333333333	JAG1	HItraining
ENSG00000102974	0.864716666666667	CTCF	HItraining
ENSG00000103197	0.683033333333333	TSC2	HItraining
ENSG00000103241	0.905083333333333	FOXF1	HItraining
ENSG00000103449	0.9302	SALL1	HItraining
ENSG00000104313	0.80985	EYA1	HItraining
ENSG00000104447	0.909916666666667	TRPS1	HItraining
ENSG00000105329	0.80385	TGFB1	HItraining
ENSG00000105392	0.6795	CRX	HItraining
ENSG00000105974	0.9093	CAV1	HItraining
ENSG00000106571	0.955933333333333	GLI3	HItraining
ENSG00000106633	0.713066666666667	GCK	HItraining
ENSG00000106683	0.667066666666667	LIMK1	HItraining
ENSG00000106991	0.752866666666667	ENG	HItraining
ENSG00000107262	0.734366666666667	BAG1	HItraining
ENSG00000107485	0.934716666666667	GATA3	HItraining
ENSG00000107779	0.91035	BMPR1A	HItraining
ENSG00000107831	0.80665	FGF8	HItraining
ENSG00000107859	0.766933333333333	PITX3	HItraining
ENSG00000108557	0.7252	RAI1	HItraining
ENSG00000108753	0.91645	HNF1B	HItraining
ENSG00000108821	0.860883333333333	COL1A1	HItraining
ENSG00000108883	0.694066666666667	EFTUD2	HItraining
ENSG00000108946	0.899166666666667	PRKAR1A	HItraining
ENSG00000108953	0.82545	YWHAE	HItraining
ENSG00000109062	0.797783333333333	SLC9A3R1	HItraining
ENSG00000109099	0.90095	PMP22	HItraining
ENSG00000109132	0.869	PHOX2B	HItraining
ENSG00000109339	0.81325	MAPK10	HItraining
ENSG00000109670	0.914833333333333	FBXW7	HItraining
ENSG00000110713	0.77655	NUP98	HItraining
ENSG00000111046	0.806583333333333	MYF6	HItraining
ENSG00000111276	0.823766666666667	CDKN1B	HItraining
ENSG00000112319	0.891283333333333	EYA4	HItraining
ENSG00000113658	0.8406	SMAD5	HItraining
ENSG00000114062	0.8596	UBE3A	HItraining
ENSG00000114861	0.916266666666667	FOXP1	HItraining
ENSG00000115738	0.942383333333333	ID2	HItraining
ENSG00000116030	0.762516666666667	SUMO1	HItraining
ENSG00000116062	0.809416666666667	MSH6	HItraining
ENSG00000116096	0.805316666666667	SPR	HItraining
ENSG00000116254	0.731916666666667	CHD5	HItraining
ENSG00000116833	0.958316666666667	NR5A2	HItraining
ENSG00000117013	0.683516666666667	KCNQ4	HItraining
ENSG00000117394	0.822666666666667	SLC2A1	HItraining
ENSG00000117595	0.743133333333333	IRF6	HItraining
ENSG00000117707	0.905883333333333	PROX1	HItraining
ENSG00000118046	0.76265	STK11	HItraining
ENSG00000118402	0.794	ELOVL4	HItraining
ENSG00000118762	0.804916666666667	PKD2	HItraining
ENSG00000119042	0.970733333333333	SATB2	HItraining
ENSG00000120071	0.935333333333333	KANSL1	HItraining
ENSG00000120149	0.933816666666667	MSX2	HItraining
ENSG00000120738	0.819016666666667	EGR1	HItraining
ENSG00000121022	0.920766666666667	COPS5	HItraining
ENSG00000121454	0.958983333333333	LHX4	HItraining
ENSG00000121774	0.876816666666667	KHDRBS1	HItraining
ENSG00000122304	0.7572	PRM2	HItraining
ENSG00000122691	0.961933333333333	TWIST1	HItraining
ENSG00000123066	0.85955	MED13L	HItraining
ENSG00000123080	0.839683333333333	CDKN2C	HItraining
ENSG00000124089	0.6805	MC3R	HItraining
ENSG00000124205	0.7834	EDN3	HItraining
ENSG00000124802	0.7579	EEF1E1	HItraining
ENSG00000124813	0.936516666666667	RUNX2	HItraining
ENSG00000125378	0.975933333333333	BMP4	HItraining
ENSG00000125398	0.924866666666667	SOX9	HItraining
ENSG00000125618	0.825	PAX8	HItraining
ENSG00000125813	0.896983333333333	PAX1	HItraining
ENSG00000125965	0.749533333333333	GDF5	HItraining
ENSG00000126561	0.68295	STAT5A	HItraining
ENSG00000126581	0.678133333333333	BECN1	HItraining
ENSG00000127152	0.888383333333333	BCL11B	HItraining
ENSG00000127922	0.779616666666667	SHFM1	HItraining
ENSG00000128573	0.954216666666667	FOXP2	HItraining
ENSG00000128917	0.867816666666667	DLL4	HItraining
ENSG00000128918	0.892516666666667	ALDH1A2	HItraining
ENSG00000129757	0.781416666666667	CDKN1C	HItraining
ENSG00000130635	0.818	COL5A1	HItraining
ENSG00000130675	0.924966666666667	MNX1	HItraining
ENSG00000131979	0.744366666666667	GCH1	HItraining
ENSG00000132170	0.83695	PPARG	HItraining
ENSG00000133895	0.651483333333333	MEN1	HItraining
ENSG00000134086	0.71315	VHL	HItraining
ENSG00000134245	0.814566666666667	WNT2B	HItraining
ENSG00000134323	0.907133333333333	MYCN	HItraining
